uid	Status	Filename	Sequence	Page	NameString	NameStringSic	Genus	GenusSic	Subgenus	OrigAuthor	CombAuthor	Citation	Cit1Author	Cit1NameString	Cit1Title	Cit1Volume	Cit1Number	Cit1Date	Cit1Pages	Cit1Status	Cit1Other	Cit2	Cit3	Cit4	varr	publication	leftovers	AfterDash	bid	extra_lines_flag	Iteration	Unicode	AdditionCorrection	TaxonRankID	IsHomonym	RLPComments	Flag
380066	1	SIL34_02_26_0087	2	6443	terrestris	0	Arvicola (L.)	0			C. L. Bonaparte	Icon. Faune Ital. (8) 1834.&#x2014;Mus, 1758.			Icon. Faune Ital.	(8)		1834								Icon Faune Ital		Mus, 1758.		0	12	terrestris Arvicola (L.), C. L. Bonaparte Icon. Faune Ital. (8) 1834.—Mus, 1758.	0	70	0		0
380072	1	SIL34_02_26_0087	8	6443	terrestris	0	Drymoica	0			A. Smith	Ill. Zool. S. Afr. (Aves), pl. lxxiv (1842).			Ill. Zool. S. Afr. (Aves)			(1842)	pl. lxxiv							Ill Zool S Afr				0	12	terrestris Drymoica, A. Smith, Ill. Zool. S. Afr. (Aves), pl. lxxiv (1842).	0	70	0		0
380699	1	SIL34_02_26_0100	38	6456	testacea	0	Lagria	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 141			Ins. Afr. Amér.	(—)		1813-20	141							Ins Afr Amér				0	1	testacea Lagria, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 141.	0	70	0		0
380815	1	SIL34_02_26_0104	13	6460	testasii	0	Cerithium	0			J. P. S. Grateloup	Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Suppl., pl. iii			Atlas to Conch. foss. tert. Adour			1840-46 [<em>vero propius</em> 1847]	Suppl., pl. iii							Atlas to Conch foss tert Adour				1	1	testasii Cerithium, J. P. S. Grateloup, Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Suppl., pl. iii.	0	70	0		0
381318	1	SIL34_02_26_0114	1	6470	tetraquetra	0	Holothuria (Pall.)	0			S. d. Chiaje	Mem. An. s. vert. Napoli, III (—) 1828, 71			Mem. An. s. vert. Napoli, III	(—)		1828	71							Mem An s vert Napoli		Limax, 1788.		1	1	tetraquetra Holothuria (Pall.), S. d. Chiaje, Mem. An. s. vert. Napoli, III (—) 1828, 71.—Limax, 1788.	0	70	0		0
381812	1	SIL34_02_26_0124	29	6480	thamar	0	Nereis	0			J. Huebner	Exot. Schmett., Tab. Nereis, 1806			Exot. Schmett. Tab. Nereis			1806		[<em>n. et f.</em>]						Exot Schmett				0	1	thamar Nereis, J. Huebner, Exot. Schmett., Tab. Nereis, 1806 [<em>n. et f.</em>].	0	70	0		0
381895	1	SIL34_02_26_0126	9	6482	Thaumantis	0		0			J. Huebner	Exot. Schmett. II. Tab. [61]			Exot. Schmett. II. Tab. [61]			die indet.</em>, 1821-26, [<em>teste</em> Scudder].		[<em>n. et f.</em>]						Exot Schmett II Tab		Lep.		1	2	Thaumantis J. Huebner, Exot. Schmett. II. Tab. [61].—Lep. [<em>n. et f. ; die indet.</em>, 1821-26, [<em>teste</em> Scudder].	0	60	1		0
382028	1	SIL34_02_26_0128	35	6484	thelxiope	0	Nereis	0			J. Huebner	Exot. Schmett., Tab. Nereis, 1806			Exot. Schmett. Tab. Nereis			1806		[<em>n. et f.</em>]						Exot Schmett				0	1	thelxiope Nereis, J. Huebner, Exot. Schmett., Tab. Nereis, 1806 [<em>n. et f.</em>].	0	70	0		0
382320	1	SIL34_02_26_0134	18	6490	thetys	0	Papilio	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 189			Ins. Afr. Amér.	(—)		1813-20	189							Ins Afr Amér				0	1	thetys Papilio, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 189.	0	70	0		0
382568	1	SIL34_02_26_0139	3	6495	thoracica	0	Cecidomyia	0			A. Fitch	Trans. N. York State Agric. Soc. V. 1845, [36] [1846]			Trans. N. York State Agric. Soc. V.			1845 [1846]	[36]							Trans N York State Agric Soc				0	1	thoracica Cecidomyia, A. Fitch, Trans. N. York State Agric. Soc. V. 1845, [36] [1846].	0	70	0		0
382843	1	SIL34_02_26_0144	30	6500	thoracinus	0	Scarabaeus	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 211			Ins. Afr. Amér.	(—)		1813-20	211							Ins Afr Amér				0	1	thoracinus Scarabaeus, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 211.	0	70	0		0
382845	1	SIL34_02_26_0144	32	6500	thoracinus	0	Tabanus	0			Palisot de B.	Ins. Afr. Amér. (—) 1807, 55			Ins. Afr. Amér.	(—)		1807	55							Ins Afr Amér				0	1	thoracinus Tabanus, Palisot de B., Ins. Afr. Amér. (—) 1807, 55.	0	70	0		0
382846	1	SIL34_02_26_0144	33	6500	thoracina	0	Tenthredo	0			Palisot de B.	Ins. Afr. Amér. (—) 1809, 97			Ins. Afr. Amér.	(—)		1809	97							Ins Afr Amér				0	1	thoracina Tenthredo, Palisot de B., Ins. Afr. Amér. (—) 1809, 97.	0	70	0		0
382866	1	SIL34_02_26_0145	1	6501	thorei	0	Fusus	0			J. P. S. de Grateloup	Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Suppl., pl. 1			Atlas to Conch. foss. tert. Adour			1840-46 [<em>vero propius</em> 1847]	Suppl., pl. 1							Atlas to Conch foss tert Adour				1	1	thorei Fusus, J. P. S. de Grateloup, Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Suppl., pl. 1.	0	70	0		0
382878	1	SIL34_02_26_0145	13	6501	Thoreyella	0		0			M. Spinola	Tav. sin. Hem. 1850,—<em>ex</em> Mem. Soc. Ital. Sci. XXV (1) 1852, 74			Tav. sin. Hem.			1850								Tav sin Hem	<em>ex</em> Mem. Soc. Ital. Sci. XXV (1) 1852, 74	[Hem.		1	1	Thoreyella M. Spinola, Tav. sin. Hem. 1850,—<em>ex</em> Mem. Soc. Ital. Sci. XXV (1) 1852, 74.—[Hem.	0	60	0		0
382996	1	SIL34_02_26_0147	24	6503	thulearia	0	Larentia	0			Herrich-S.	Syst. Bearb. Schmett. Europ. III (—) 1848, 156			Syst. Bearb. Schmett. Europ. III	(—)		1848	156							Syst Bearb Schmett Europ				0	1	thulearia Larentia, Herrich-S., Syst. Bearb. Schmett. Europ. III (—) 1848, 156.	0	70	0		0
383066	1	SIL34_02_26_0148	38	6504	Thyas	0		0			J. Huebner	Exot. Schmett. II. Tab. [203]			Exot. Schmett. II. Tab. [203]			[<em>die non det.</em>]		[<em>n. et f.</em>].						Exot Schmett II Tab		Lep.		0	2	Thyas J. Huebner, Exot. Schmett. II. Tab. [203].—Lep. [<em>n. et f. ; die non det.</em>].	0	60	1		0
383174	1	SIL34_02_26_0150	43	6506	thyreiformis	0	Sesia	0			Herrich-S.	Syst. Bearb. Schmett. Europ. II (—) 1846, 72			Syst. Bearb. Schmett. Europ. II	(—)		1846	72							Syst Bearb Schmett Europ				0	1	thyreiformis Sesia, Herrich-S., Syst. Bearb. Schmett. Europ. II (—) 1846, 72.	0	70	0		0
383569	1	SIL34_02_26_0158	12	6514	tibiale	0	Phalaena Noctua	0			E. J. C. Esper	Die Sschmett. IV (—) 180-, 568			Die Sschmett. IV	(—)		180-	568							Die Sschmett				0	1	tibiale Phalaena Noctua, E. J. C. Esper, Die Sschmett. IV (—) 180-, 568.	0	70	0		0
383721	1	SIL34_02_26_0161	5	6517	tiedemanni	0	Nereis	0			S. d. Chiaje	Mem. An. s. vert. Napoli, III (—) 1828, 176			Mem. An. s. vert. Napoli, III	(—)		1828	176							Mem An s vert Napoli				0	1	tiedemanni Nereis, S. d. Chiaje, Mem. An. s. vert. Napoli, III (—) 1828, 176.	0	70	0		0
383779	1	SIL34_02_26_0162	8	6518	tigrina	0	Cicada	0			Palisot de B.	Ins. Afr. Amér. (—) 1813, 133			Ins. Afr. Amér.	(—)		1813	133							Ins Afr Amér				0	1	tigrina Cicada, Palisot de B., Ins. Afr. Amér. (—) 1813, 133.	0	70	0		0
